;Rekisteri
1|0|Esi|Merkki|101111-042H|Tytt�|Vaajakoskentie 1|40100|+ 123 456789|
2|7|anette|lawen||@[Anette Lawen]|Nessu S2P-roles|||
3|7|Aatu|Maanoja||@[Aatu Maanoja]|Nessu C2C-roles|||
4|7|Aapeli|Palen||@[Anette Lawen]|Nessu S2P-roles|||
5|7|Gunther|Karus||@[Anette Lawen]|Nessu S2P-roles|||
6|7|Jemmu|Jammu||@[Anette Lawen]|Nessu S2P-roles|||
7|7|Sauronin|Silma||@[Anette Lawen]|Nessu S2P-roles|||
8|7|Energia|Teollisuus||@[Anette Lawen]|Nessu P2P-roles|||
9|7|Jaakko|Pouta||@[Anette Lawen]|Nessu S2P-roles|||
10|7|anette|lawen||@[Anette Lawen]|Nessu S2P-roles|||
11|8|antti|ammala|||@[Antti Ammala]|||
12|7|anette|lawen||@[Anette Lawen]|Nessu S2P-roles|||
13|2|Terhi|Jokinen||Nainen|@[Terhi Jokinen]|||
14|3|Hilkka|Peraniemi||||||
15|7|anette|lawen||@[Anette Lawen]|Nessu S2P-roles|||
16|4|Timo|Arponen||||||
17|6|Pekka|Fox||||||
18|1|Suvi|Hirvi||||||
19|5|Tommi|Papola||||||
20|3|Stefan|Emerson||||||
21|36|as|s|d|s|f|s||
22|36|g|d|f|d|s|f|g|
23|37|g|d|s|f|f|+0ddfdf||
